timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665921336407,652,Get Users,200,OK,stress 1-1,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,651,0,501
1665921337059,130,Delete User,200,OK,stress 1-1,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,130,0,0
1665921337189,150,Get User by ID,200,OK,stress 1-1,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,150,0,0
1665921338410,596,Get Users,200,OK,stress 1-2,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,596,0,437
1665921339007,142,Delete User,200,OK,stress 1-2,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,142,0,0
1665921339149,139,Get User by ID,200,OK,stress 1-2,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,139,0,0
1665921340406,550,Get Users,200,OK,stress 1-3,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,550,0,409
1665921340956,122,Delete User,200,OK,stress 1-3,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,122,0,0
1665921341079,128,Get User by ID,200,OK,stress 1-3,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,128,0,0
1665921342405,574,Get Users,200,OK,stress 1-4,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,574,0,438
1665921342979,139,Delete User,200,OK,stress 1-4,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,139,0,0
1665921343119,129,Get User by ID,200,OK,stress 1-4,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,129,0,0
1665921344410,538,Get Users,200,OK,stress 1-5,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,538,0,415
1665921344948,146,Delete User,200,OK,stress 1-5,text,true,,313,158,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,146,0,0
1665921345095,132,Get User by ID,200,OK,stress 1-5,text,true,,313,158,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,132,0,0
1665921346406,585,Get Users,200,OK,stress 1-6,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,585,0,427
1665921346991,133,Delete User,200,OK,stress 1-6,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,133,0,0
